ID,Nombre,País,Ciudad,Dirección,Código Postal,Teléfono,Email,Contacto Principal,Lead Time Días,MOQ (Cantidad Mínima),Moneda,Condición de Pago,Tipo,Calificación,Años de Relación,Estado,Notas
PROV-001,ProveedorGlobal1,México,Ciudad de México,"Calle 933 #3403, Zona Industrial",73001,+43-340-1045936,contacto14@proveedorglobal1.com,Contacto Li Wang,29,200,INR,30 días,Fabricante,4.4,2,Suspendido,Proveedor confiable
PROV-002,ProveedorGlobal2,Japón,Tokio,"Calle 660 #3788, Zona Industrial",69867,+38-370-8789281,contacto52@proveedorglobal2.com,Contacto Li Chen,30,10,JPY,45 días,Mayorista,3.6,2,Activo,Proveedor confiable
PROV-003,ProveedorGlobal3,China,Shenzhen,"Calle 873 #2268, Zona Industrial",96947,+83-274-6514013,contacto367@proveedorglobal3.com,Contacto Ana Kim,11,500,CNY,45 días,Mayorista,3.0,7,Activo,Proveedor regular
PROV-004,ProveedorGlobal4,Japón,Tokio,"Calle 856 #6320, Zona Industrial",72684,+54-764-3798082,contacto116@proveedorglobal4.com,Contacto Wei Pérez,30,25,CNY,60 días,Consignatario,3.7,10,Suspendido,Proveedor regular
PROV-005,ProveedorGlobal5,USA,Los Ángeles,"Calle 626 #6222, Zona Industrial",57002,+79-129-3192032,contacto495@proveedorglobal5.com,Contacto Ana Wang,16,100,USD,Contado,Mayorista,4.1,1,Suspendido,Proveedor premium
PROV-006,ProveedorGlobal6,Malasia,Kuala Lumpur,"Calle 742 #9258, Zona Industrial",39358,+86-994-6675742,contacto532@proveedorglobal6.com,Contacto Carlos Kim,6,100,EUR,60 días,Mayorista,4.2,11,Activo,Proveedor nuevo
PROV-007,ProveedorGlobal7,India,Mumbai,"Calle 914 #895, Zona Industrial",11526,+83-260-9482016,contacto870@proveedorglobal7.com,Contacto Ana García,30,25,CNY,60 días,Mayorista,3.1,5,Activo,Proveedor premium
PROV-008,ProveedorGlobal8,Vietnam,Ho Chi Minh,"Calle 564 #6204, Zona Industrial",62858,+31-180-8702329,contacto455@proveedorglobal8.com,Contacto Yuki García,5,100,INR,45 días,Fabricante,5.0,12,Suspendido,Proveedor confiable
PROV-009,ProveedorGlobal9,Taiwan,Taipéi,"Calle 414 #6756, Zona Industrial",14696,+72-662-1002847,contacto846@proveedorglobal9.com,Contacto Li Kim,22,500,JPY,90 días,Consignatario,3.0,11,Activo,Proveedor estratégico
PROV-010,ProveedorGlobal10,Corea del Sur,Seúl,"Calle 846 #890, Zona Industrial",39218,+59-439-8937865,contacto734@proveedorglobal10.com,Contacto Klaus García,6,10,EUR,Contado,Mayorista,3.4,11,En evaluación,Proveedor estratégico
PROV-011,ProveedorGlobal11,India,Mumbai,"Calle 535 #6126, Zona Industrial",23935,+6-268-9261472,contacto144@proveedorglobal11.com,Contacto Raj Wang,11,200,EUR,30 días,Fabricante,4.8,7,Activo,Proveedor regular
PROV-012,ProveedorGlobal12,Vietnam,Ho Chi Minh,"Calle 734 #5537, Zona Industrial",24125,+97-524-1780146,contacto949@proveedorglobal12.com,Contacto Yuki Wang,27,100,INR,90 días,Consignatario,2.8,8,Activo,Proveedor premium
PROV-013,ProveedorGlobal13,China,Shenzhen,"Calle 567 #7092, Zona Industrial",86692,+62-620-3972963,contacto709@proveedorglobal13.com,Contacto Yuki Chen,26,25,CNY,60 días,Consignatario,4.0,6,Inactivo,Proveedor regular
PROV-014,ProveedorGlobal14,Alemania,Berlín,"Calle 624 #4068, Zona Industrial",45860,+51-451-5935413,contacto464@proveedorglobal14.com,Contacto Wei Chen,16,200,MYR,45 días,Consignatario,4.7,12,Suspendido,Proveedor premium
PROV-015,ProveedorGlobal15,Vietnam,Ho Chi Minh,"Calle 206 #3436, Zona Industrial",91810,+92-397-6793064,contacto944@proveedorglobal15.com,Contacto Wei Chen,19,200,KRW,Contado,Mayorista,3.9,10,Inactivo,Proveedor regular
PROV-016,ProveedorGlobal16,India,Mumbai,"Calle 293 #6921, Zona Industrial",11673,+67-209-1423996,contacto391@proveedorglobal16.com,Contacto Wei Pérez,24,10,EUR,45 días,Distribuidor,5.0,11,Activo,Proveedor nuevo
