ID,Empresa,Razón Social,País,Ciudad,Dirección,Código Postal,Teléfono,Email,Contacto Principal,Tipo,Sector,Límite Crédito USD,Días Crédito,Descuento %,Volumen Anual Estimado,Fecha Registro,Estado,Notas
CLI-001,ClienteTech1,ClienteTech1 S.A. de C.V.,España,Madrid,"Avenida 41 #1522, Madrid",46167,+52-461-7629401,cliente1@mail.com,Pedro Flores,Minorista,Educación,100000,0,14.7,100,2025-02-25,Activo,Cliente potencial
CLI-002,ClienteTech2,ClienteTech2 S.A. de C.V.,Argentina,Buenos Aires,"Avenida 150 #5803, Buenos Aires",55544,+36-331-4263591,cliente2@mail.com,Laura Sánchez,Cadena Retail,Tecnología,25000,15,8.1,100,2023-02-18,Activo,Cliente potencial
CLI-003,ClienteTech3,ClienteTech3 S.A. de C.V.,Argentina,Buenos Aires,"Avenida 30 #8509, Buenos Aires",43776,+69-932-5196677,cliente3@mail.com,Laura Sánchez,Distribuidor,Finanzas,10000,30,19.2,5000,2023-10-27,Nuevo,Cliente potencial
CLI-004,ClienteTech4,ClienteTech4 S.A. de C.V.,USA,Miami,"Avenida 30 #4324, Miami",18854,+49-748-4697401,cliente4@mail.com,Ana Pérez,E-commerce,Salud,25000,60,10.7,50000,2024-08-31,Activo,Cliente nuevo
CLI-005,ClienteTech5,ClienteTech5 S.A. de C.V.,Argentina,Buenos Aires,"Avenida 103 #5703, Buenos Aires",19965,+71-282-8995273,cliente5@mail.com,Sofía Pérez,Minorista,Educación,100000,30,3.7,50000,2023-10-31,Activo,Cliente VIP
CLI-006,ClienteTech6,ClienteTech6 S.A. de C.V.,España,Madrid,"Avenida 62 #4448, Madrid",37102,+30-307-5189194,cliente6@mail.com,Camila Pérez,Mayorista,Gaming,5000,0,18.4,50000,2025-05-11,Nuevo,Cliente potencial
CLI-007,ClienteTech7,ClienteTech7 S.A. de C.V.,USA,Miami,"Avenida 11 #8001, Miami",58653,+80-422-9260100,cliente7@mail.com,Camila Hernández,Cadena Retail,Finanzas,10000,60,5.6,500,2024-03-16,Activo,Cliente estratégico
CLI-008,ClienteTech8,ClienteTech8 S.A. de C.V.,Canadá,Toronto,"Avenida 123 #8959, Toronto",14268,+65-455-7605473,cliente8@mail.com,José Ramírez,E-commerce,Electrónica,250000,60,9.2,50000,2020-01-18,Activo,Cliente nuevo
CLI-009,ClienteTech9,ClienteTech9 S.A. de C.V.,Perú,Lima,"Avenida 26 #5431, Lima",57395,+79-982-5357055,cliente9@mail.com,José Torres,Cadena Retail,Corporativo,10000,30,9.4,10000,2021-12-03,Inactivo,Cliente nuevo
CLI-010,ClienteTech10,ClienteTech10 S.A. de C.V.,Brasil,São Paulo,"Avenida 54 #6966, São Paulo",58799,+47-974-7720828,cliente10@mail.com,Luis Ramírez,E-commerce,Gaming,100000,15,19.6,50000,2021-04-13,Activo,Cliente regular
CLI-011,ClienteTech11,ClienteTech11 S.A. de C.V.,España,Madrid,"Avenida 111 #6340, Madrid",35698,+19-919-3509000,cliente11@mail.com,Laura Gómez,Cadena Retail,Gaming,50000,45,2.7,50000,2022-11-24,Inactivo,Cliente VIP
CLI-012,ClienteTech12,ClienteTech12 S.A. de C.V.,Argentina,Buenos Aires,"Avenida 144 #9403, Buenos Aires",16253,+51-201-3740422,cliente12@mail.com,Carlos Rodríguez,Distribuidor,Corporativo,50000,90,1.9,50000,2021-11-16,Activo,Cliente regular
CLI-013,ClienteTech13,ClienteTech13 S.A. de C.V.,Chile,Santiago,"Avenida 143 #4322, Santiago",55107,+3-521-3034027,cliente13@mail.com,Sofía Flores,Cadena Retail,Educación,100000,60,13.0,10000,2020-12-23,Activo,Cliente regular
CLI-014,ClienteTech14,ClienteTech14 S.A. de C.V.,Chile,Santiago,"Avenida 125 #7422, Santiago",20277,+49-728-5807067,cliente14@mail.com,Laura Martínez,Cadena Retail,Gaming,250000,30,8.4,10000,2023-03-16,Moroso,Cliente estratégico
